n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilite;observations;date_maj
IONITY;IONITY;IONITY;FR*ION*P4019;IONITY Baie de Somme;Aire de Baie de Somme - A16 - 80970 Sailly Flibeaucourt;80692;1.755601;50.167377;4;FR*ION*E4019;350;CCS350-CCS350-CCS350-CCS350;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4024;IONITY Boismand� Est;Aire de Boismand� Est - A20 - 87160 Saint Sulpice les Feuilles;87182;1.420118;46.314125;4;FR*ION*E4024;350;CCS350-CCS350-CCS350-CCS350;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4020;IONITY Boismand� Ouest;Aire de Boismand� Ouest - A20 - 87160 Saint Sulpice les Feuilles;87182;1.416903;46.312923;4;FR*ION*E4020;350;CCS350-CCS350-CCS350-CCS350;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4127;IONITY Bonneville;Aire de Bonneville - Autoroute Blanche A40 - 74130 Bonneville;74042;6.411364;46.064297;5;FR*ION*E4127;350;CCS350-CCS350-CCS350-CCS350-CCS50-CHAdeMO - T2;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4032;IONITY Br�gui�res Nord;Aire de Br�gui�res Nord - A8 - 06250 Mougins;6085;7.03661;43.592117;4;FR*ION*E4032;350;CCS350-CCS350-CCS350-CCS350;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4045;IONITY Cambarette Nord;Aire de Cambarette Nord - A8 - 83170 Brignoles;83023;5.99011;43.423878;4;FR*ION*E4045;350;CCS350-CCS350-CCS350-CCS350;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P1265;IONITY Chartres Bois-Paris;Aire de Chartres Bois-Paris - A11 - 28300 Gasville-Ois�me;28173;1.579341;48.467;4;FR*ION*E1265;350;CCS350-CCS350-CCS350-CCS350;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P1264;IONITY Chartres Gasville;Aire de Chartres Gasville - A11 - 28300 Mainvilliers;28229;1.580005;48.468541;4;FR*ION*E1264;350;CCS350-CCS350-CCS350-CCS350;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4081;IONITY Darvault;Aire de Darvault - A6 - 77140 Nemours;77333;2.721588;48.264669;4;FR*ION*E4081;350;CCS350-CCS350-CCS350-CCS350;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P1013;IONITY Fontaine Colette;Aire de Fontaine Colette - A10 - 37800 Saint-�pain;37216;0.63161;47.16577;5;FR*ION*E1013;350;CCS350-CCS350-CCS350-CCS350-CCS50-CHAdeMO - T2;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4037;IONITY Freney;Aire de Freney Autoport du Frejus - A43 - 73500 Freney;73119;6.623106;45.196779;5;FR*ION*E4037;350;CCS350-CCS350-CCS350-CCS350-CCS50-CHAdeMO - T2;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4018;IONITY Garonne;Aire de Garonne - A64 - 31410 Capens;31104;1.245265;43.334659;5;FR*ION*E4018;350;CCS350-CCS350-CCS350-CCS350-CCS50-CHAdeMO - T2;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4026;IONITY Gueux;Aire de Gueux - A4 - 51390 Gueux;51282;3.92416;49.244397;5;FR*ION*E4026;350;CCS350-CCS350-CCS350-CCS350-CCS50-CHAdeMO - T2;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4083;IONITY Jura;Aire du Jura - A39 - 39140 Arlay;39017;5.523009;46.774589;3;FR*ION*E4083;350;CCS350-CCS350-CCS50-CHAdeMO - T2;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4022;IONITY Longu� la Couaille;Aire de Longu� la Couaille - A85 - 49160 Longu� Jumelles;49180;-0.134708;47.419279;4;FR*ION*E4022;350;CCS350-CCS350-CCS350-CCS350;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4021;IONITY Longu� les Cossonni�res;Aire de Longu� les Cossoni�res - A85 - 49160 Longu� Jumelles;49180;-0.131529;47.418493;4;FR*ION*E4021;350;CCS350-CCS350-CCS350-CCS350;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4215;IONITY Montbartier;Montbartier - 260 Route Nationale 20 - 82370 Labastide-Saint-Pierre;82079;1.308488;43.914901;5;FR*ION*E4215;350;CCS350-CCS350-CCS350-CCS350-CCS50-CHAdeMO - T2;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4035;IONITY Mont�limar Est;Aire de Mont�limar Est - A7 - 26780 Allan;26005;4.781292;44.513974;4;FR*ION*E4035;350;CCS350-CCS350-CCS350-CCS350;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4036;IONITY Mont�limar Ouest;Aire de Mont�limar Ouest - A7 - 26780 Allan;26005;4.780813;44.515114;4;FR*ION*E4036;350;CCS350-CCS350-CCS350-CCS350;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4043;IONITY Poitiers Chinc�;Aire de Poitiers-Chinc� - A10 - 817 Rue du Bois des Baillarges. 86130 Jaunay-Clan;86115;0.371062;46.701811;5;FR*ION*E4043;350;CCS350-CCS350-CCS350-CCS350-CCS50-CHAdeMO - T2;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4094;IONITY Poitiers Jaunay-Clan;A10 -�86130 Jaunay-Clan;86115;0.371265;46.704579;4;FR*ION*E4094;350;CCS350-CCS350-CCS350-CCS350;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P1014;IONITY Portes d'Angers Sud;Aire des Portes d'Angers Sud - A11 - 49480 Saint-Sylvain-d'Anjou;49323;-0.491055;47.500299;6;FR*ION*E1014;350;CCS350-CCS350-CCS350-CCS350-CCS350-CCS350;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4089;IONITY Rely;Aire de Rely - A26 - 62120 Rely;62701;2.377188;50.573089;5;FR*ION*E4089;350;CCS350-CCS350-CCS350-CCS350-CCS50-CHAdeMO - T2;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4033;IONITY Sarthe Nord;Aire de Parc�-sur-Sarthe - A11 - L'Oc�ane. 72300 Parc�-sur-Sarthe;72228;-0.1659;47.8077;4;FR*ION*E4033;350;CCS350-CCS350-CCS350-CCS350;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4034;IONITY Sarthe Sud;Aire de Parc�-sur-Sarthe - A11 - L'Oc�ane. 72300 Parc�-sur-Sarthe;72228;-0.1699;47.802;4;FR*ION*E4034;350;CCS350-CCS350-CCS350-CCS350;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P1012;IONITY Tours la Longue Vue;Aire de Tours la Longue Vue - A10 - 37380 Monnaie;37153;0.776985;47.475422;6;FR*ION*E1012;350;CCS350-CCS350-CCS350-CCS350-CCS350-CCS350;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4096;IONITY Vidauban Sud;Aire de Vidauban Sud - A8 - 83550 Vidauban;83148;6.452134;43.413906;5;FR*ION*E4096;350;CCS350-CCS350-CCS350-CCS350-CCS50-CHAdeMO - T2;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4019;IONITY Volvestre;Aire du Volvestre - A64 - 31410 Capens;31104;1.24490;43.3368;5;FR*ION*E4019;350;CCS350-CCS350-CCS350-CCS350-CCS50-CHAdeMO - T2;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
IONITY;IONITY;IONITY;FR*ION*P4017;IONITY Vrigny;Aire de Vrigny - A4 - 51390 Vrigny;51657;3.918813;49.242948;5;FR*ION*E4017;350;CCS350-CCS350-CCS350-CCS350-CCS50-CHAdeMO - T2;payant;24/24 7/7 jours;Recharge jusqu'� 350KW - CCS;21.10.2019
